journal,processed_text
0,"['every', 'year', 'several', 'dictionary', 'publishers', 'american', 'dialect', 'society', 'announce', 'picks', 'word', 'year', 'tricky', 'exercise', 'every', 'year', 'throws', 'obvious', 'zeitgeist', 'capturing', 'word', 'exception', 'different', 'juries', 'chose', 'different', 'compromises', 'word', 'four', 'name', 'selections', 'choice', 'only', 'roundabout', 'claim', 'word']"
0,"['sees', 'nothing', 'improved', 'ferguson', 'mostly', 'black', 'suburb', 'louis', 'past', 'years', 'rapper', 'activist', 'founded', 'hands', 'united', 'campaign', 'group', 'policeman', 'shot', 'dead', 'local', 'teenager', 'michael', 'brown', 'became', 'voice', 'black', 'lives', 'matter', 'police', 'clashed', 'protesters', 'recalls', 'flurry', 'public', 'interest', 'trendy', 'movement', 'enthusiasm', 'hangers', 'activism', 'nike', 'swoosh']"
0,"['heckling', 'politicians', 'rarely', 'effective', 'form', 'advocacy', 'midterm', 'elections', 'advocates', 'illegal', 'immigrants', 'heckled', 'barack', 'obama', 'mostly', 'shouted', 'down', 'series', 'recent', 'political', 'events', 'protesters', 'standing', 'shout', 'black', 'lives', 'matter', 'causing', 'ripples', 'democratic', 'presidential', 'primary', 'race']"
0,"['august', 'donald', 'trump', 'repeated', 'belief', 'both', 'sides', 'blame', 'violence', 'august', 'white', 'supremacist', 'rally', 'charlottesville', 'virginia', 'left', 'woman', 'dead', 'david', 'duke', 'former', 'leader', 'klux', 'klan', 'thanked', 'condemn', 'leftist', 'terrorists', 'referring', 'black', 'lives', 'matter', 'movement', 'david', 'clarke', 'sheriff', 'milwaukee', 'county', 'supporter', 'trump', 'also', 'called', 'black', 'lives', 'matter', 'purveyors', 'hate', 'urged', 'southern', 'poverty', 'centre', 'splc', 'include', 'among', 'hate', 'groups', 'monitors', 'many', 'right', 'share', 'belief', 'mistaken']"
0,"['protests', 'broken', 'minneapolis', 'beyond', 'following', 'another', 'black', 'death', 'hands', 'white', 'policeman', 'once', 'mighty', 'black', 'lives', 'matter', 'make', 'itself', 'heard', 'pandemic', 'threaten', 'london', 'place', 'britain', 'undisputed', 'centre', 'gravity', 'researcher', 'spooks', 'spooks', 'revealing', 'decades', 'pact', 'runtime']"
0,"['george', 'zimmerman', 'neighbourhood', 'watch', 'volunteer', 'shot', 'killed', 'trayvon', 'martin', 'unarmed', 'year', 'sanford', 'florida', 'acquittal', 'year', 'later', 'alicia', 'garza', 'activist', 'post', 'facebook', 'black', 'people', 'love', 'love', 'lives', 'matter', 'black', 'lives', 'matter', 'soon', 'those', 'three', 'words', 'went', 'viral', 'several', 'high', 'profile', 'killings', 'african', 'americans', 'hands', 'police', 'black', 'lives', 'matter', 'developed', 'into', 'movement', 'against', 'police', 'violence', 'racism', 'than', 'chapters', 'four', 'countries']"
0,"['teenager', 'roland', 'fryer', 'unpleasant', 'police', 'officers', 'pointed', 'guns', 'seven', 'times', 'even', 'youngest', 'african', 'american', 'tenure', 'harvard', 'wonders', 'police', 'shout', 'loudly', 'soon', 'forgets', 'indicate', 'driving', 'economist', 'began', 'researching', 'racial', 'differences', 'force', 'police', 'officers', 'want', 'experience', 'prejudice', 'findings', 'understand', 'cops', 'work', 'joined', 'them', 'beat', 'jersey', 'texas']"
0,"['donald', 'trump', 'support', 'among', 'african', 'americans', 'hovers', 'single', 'digits', 'recent', 'polls', 'ohio', 'pennsylvania', 'putting', 'night', 'republican', 'convention', 'several', 'black', 'took', 'stage', 'improve', 'trump', 'standing', 'among', 'african', 'americans', 'speaker', 'david', 'clarke', 'sheriff', 'wisconsin', 'cited', 'martin', 'luther', 'king', 'lamented', 'collapse', 'social', 'order', 'tweaked', 'popular', 'rallying', 'racial', 'justice', 'stand', 'fallen', 'police', 'officers', 'blue', 'lives', 'matter', 'america', 'declared', 'roaring', 'crowd']"
0,"['crumpled', 'paper', 'roses', 'broken', 'vase', 'brass', 'plaque', 'mark', 'spot', 'ferguson', 'missouri', 'where', 'policeman', 'shot', 'dead', 'michael', 'brown', 'four', 'years', 'kesha', 'burnett', 'resident', 'nearby', 'housing', 'block', 'gives', 'glance', 'hurries', 'along', 'canfield', 'drive', 'anything', 'changed', 'since', 'black', 'teenager', 'killed', 'mass', 'protests', 'erupted', 'improvement', 'violence', 'says', 'police', 'trying', 'adds', 'police', 'still', 'harass', 'police', 'still', 'same', 'complains', 'youngster', 'grey', 'shirt', 'draws', 'cigarette', 'mcdonald', 'restaurant', 'nearby', 'nothing', 'going', 'change', 'still', 'killing', 'just', 'mess', 'real', 'says', 'declining', 'give', 'name']"
0,"['music', 'salve', 'woes', 'modern', 'times', 'protest', 'songs', 'delivered', 'anthems', 'freedom', 'peace', 'during', 'american', 'civil', 'rights', 'movement', 'vietnam', 'today', 'musicians', 'continue', 'raise', 'voices']"
